RECHNUNGSNUMMER;ART;DEBITOR;DEBITORNAME;FAKTURADATUM;LEISTUNGSDATUM;BETRAG_EUR;WAEHRUNG;BEMERKUNG
AR500768;Rechnung;100027;BOREAS TRANSPORT AG;13.05.2025;13.05.2025;54520,00;EUR;
AR500769;Rechnung;100030;PRISMA ETIKETTEN AG;24.05.2025;24.05.2025;19799,00;EUR;
AR500770;Rechnung;100003;IRIS MASCHINEN KG;21.05.2025;21.05.2025;48880,00;EUR;
AR500771;Rechnung;100002;FOKUS DRUCK SE;29.05.2025;29.05.2025;23953,00;EUR;
AR500772;Rechnung;100131;WEST FORMTEILE GMBH;23.05.2025;23.05.2025;54115,00;EUR;
AR500773;Rechnung;100059;FOKUS RECYCLING GMBH & CO. KG;31.05.2025;31.05.2025;48644,00;EUR;
AR500774;Rechnung;100021;HELIOS RECYCLING GMBH;09.05.2025;09.05.2025;38607,00;EUR;
AR500775;Rechnung;100025;LUPUS CHEMIE AG;05.05.2025;05.05.2025;27934,00;EUR;
AR500776;Rechnung;100004;PRISMA SYSTEME AG;24.05.2025;24.05.2025;18058,00;EUR;
AR500777;Rechnung;100064;FALKE MASCHINEN GMBH;26.05.2025;26.05.2025;48556,00;EUR;
AR500778;Rechnung;100064;FALKE MASCHINEN GMBH;20.05.2025;20.05.2025;28611,00;EUR;
AR500779;Rechnung;100108;ATLAS MASCHINEN AG;28.05.2025;28.05.2025;33712,00;EUR;
AR500780;Rechnung;100032;OMEGA VERPACKUNG KG;21.05.2025;21.05.2025;54668,00;EUR;
AR500781;Rechnung;100152;NORD WERKSTOFFE GMBH;11.05.2025;11.05.2025;21748,00;EUR;
AR500782;Rechnung;100131;WEST FORMTEILE GMBH;07.05.2025;07.05.2025;17565,00;EUR;
AR500783;Rechnung;100066;SOLUM PAPIER GMBH;14.05.2025;14.05.2025;25102,00;EUR;
AR500784;Rechnung;100135;PACTUM KARTON E.K.;14.05.2025;14.05.2025;52369,00;EUR;
AR500785;Rechnung;100014;ALPHA HANDEL GMBH;14.05.2025;14.05.2025;21736,00;EUR;
AR500786;Rechnung;100013;NOVA FORMTEILE GMBH;14.05.2025;14.05.2025;8641,00;EUR;
AR500787;Rechnung;100139;RATIO BESCHICHTUNG KG;06.05.2025;06.05.2025;10281,00;EUR;
AR500788;Rechnung;100009;TITAN TECHNIK GMBH;13.05.2025;13.05.2025;35298,00;EUR;
AR500789;Rechnung;100081;ADLER RECYCLING GMBH;28.05.2025;28.05.2025;8434,00;EUR;
AR500790;Rechnung;100012;ATLAS FORMTEILE SE;22.05.2025;22.05.2025;18141,00;EUR;
AR500791;Rechnung;100155;RATIO TRANSPORT GMBH;29.05.2025;29.05.2025;47096,00;EUR;
AR500792;Rechnung;100122;FOKUS SYSTEME GMBH;14.05.2025;14.05.2025;18720,00;EUR;
AR500793;Rechnung;100141;SOLUM TRANSPORT KG;13.05.2025;13.05.2025;11591,00;EUR;
AR500794;Rechnung;100117;ATLAS HANDEL E.K.;13.05.2025;13.05.2025;8452,00;EUR;
AR500795;Rechnung;100091;RATIO RECYCLING AG;12.05.2025;12.05.2025;40027,00;EUR;
AR500796;Rechnung;100042;ADLER HANDEL GMBH;31.05.2025;31.05.2025;14398,00;EUR;
AR500797;Rechnung;100005;CORVUS HANDEL KG;15.05.2025;15.05.2025;25954,00;EUR;
AR500798;Rechnung;100137;PRISMA DISTRIBUTION GMBH;09.05.2025;09.05.2025;15823,00;EUR;
AR500799;Rechnung;100112;WEST CHEMIE GMBH & CO. KG;11.05.2025;11.05.2025;23082,00;EUR;
AR500800;Rechnung;100048;ATLAS ETIKETTEN GMBH & CO. KG;27.05.2025;27.05.2025;7768,00;EUR;
AR500801;Rechnung;100152;NORD WERKSTOFFE GMBH;30.05.2025;30.05.2025;22636,00;EUR;
AR500802;Rechnung;100150;SÜD RECYCLING GMBH;07.05.2025;07.05.2025;8144,00;EUR;
AR500803;Rechnung;100150;SÜD RECYCLING GMBH;10.05.2025;10.05.2025;41016,00;EUR;
AR500804;Rechnung;100156;KRANICH PAPIER GMBH & CO. KG;29.05.2025;29.05.2025;3152,00;EUR;
AR500805;Rechnung;100037;PACTUM TECHNIK GMBH;12.05.2025;12.05.2025;30425,00;EUR;
AR500806;Rechnung;100138;ALPHA FOLIEN GMBH;17.05.2025;17.05.2025;47158,00;EUR;
AR500807;Rechnung;100088;NOVA BESCHICHTUNG GMBH;12.05.2025;12.05.2025;27039,00;EUR;
AR500808;Rechnung;100137;PRISMA DISTRIBUTION GMBH;27.05.2025;27.05.2025;10974,00;EUR;
AR500809;Rechnung;100060;ATLAS FOLIEN GMBH & CO. KG;27.05.2025;27.05.2025;38687,00;EUR;
AR500810;Rechnung;100050;OST CHEMIE GMBH;10.05.2025;10.05.2025;14490,00;EUR;
AR500811;Rechnung;100126;DELTA TECHNIK SE;06.05.2025;06.05.2025;23785,00;EUR;
AR500812;Rechnung;100085;WEST LOGISTIK GMBH;19.05.2025;19.05.2025;8880,00;EUR;
AR500813;Rechnung;100157;IRIS DISTRIBUTION GMBH;30.05.2025;30.05.2025;53220,00;EUR;
AR500814;Rechnung;100019;POLLUX SYSTEME GMBH;16.05.2025;16.05.2025;15776,00;EUR;
AR500815;Rechnung;100029;PRISMA WERKSTOFFE SE;29.05.2025;29.05.2025;20320,00;EUR;
AR500816;Rechnung;100078;FALKE SYSTEME GMBH;30.05.2025;30.05.2025;46435,00;EUR;
AR500817;Rechnung;100015;OST WERKSTOFFE AG;28.05.2025;28.05.2025;4863,00;EUR;
AR500818;Rechnung;100111;PACTUM RECYCLING E.K.;11.05.2025;11.05.2025;13759,00;EUR;
AR500819;Rechnung;100007;RATIO LOGISTIK GMBH;06.05.2025;06.05.2025;35860,00;EUR;
AR500820;Rechnung;100017;HELIOS ETIKETTEN KG;14.05.2025;14.05.2025;46410,00;EUR;
AR500821;Rechnung;100080;RATIO SYSTEME GMBH;05.05.2025;05.05.2025;3860,00;EUR;
AR500822;Rechnung;100123;SÜD CHEMIE GMBH & CO. KG;10.05.2025;10.05.2025;3463,00;EUR;
AR500823;Rechnung;100006;SÜD DRUCK GMBH;16.05.2025;16.05.2025;1341,00;EUR;
AR500824;Rechnung;100068;VEGA ETIKETTEN KG;25.05.2025;25.05.2025;24652,00;EUR;
AR500825;Rechnung;100121;FALKE WERKSTOFFE GMBH;16.05.2025;16.05.2025;27400,00;EUR;
AR500826;Rechnung;100116;KRANICH MASCHINEN KG;22.05.2025;22.05.2025;23624,00;EUR;
AR500827;Rechnung;100101;WEST KARTON GMBH;09.05.2025;09.05.2025;12066,00;EUR;
AR500828;Rechnung;100066;SOLUM PAPIER GMBH;21.05.2025;21.05.2025;47137,00;EUR;
AR500829;Rechnung;100116;KRANICH MASCHINEN KG;14.05.2025;14.05.2025;33448,00;EUR;
AR500830;Rechnung;100011;BOREAS BESCHICHTUNG E.K.;16.05.2025;16.05.2025;9903,00;EUR;
AR500831;Rechnung;100144;WEST CHEMIE SE;18.05.2025;18.05.2025;35824,00;EUR;
AR500832;Rechnung;100154;CIVES WERKSTOFFE E.K.;31.05.2025;31.05.2025;11999,00;EUR;
AR500833;Rechnung;100012;ATLAS FORMTEILE SE;26.05.2025;26.05.2025;47721,00;EUR;
AR500834;Rechnung;100145;ATLAS RECYCLING SE;10.05.2025;10.05.2025;53852,00;EUR;
AR500835;Rechnung;100090;WEST WERKSTOFFE GMBH;19.05.2025;19.05.2025;18261,00;EUR;
AR500836;Rechnung;100116;KRANICH MASCHINEN KG;29.05.2025;29.05.2025;14310,00;EUR;
AR500837;Rechnung;100159;MERKUR DRUCK AG;20.05.2025;20.05.2025;2447,00;EUR;
AR500838;Rechnung;100057;CORVUS FORMTEILE GMBH;02.05.2025;02.05.2025;40041,00;EUR;
AR500839;Rechnung;100118;LUPUS PAPIER GMBH;06.05.2025;06.05.2025;813,00;EUR;
AR500840;Rechnung;100016;MERKUR WERKSTOFFE SE;11.05.2025;11.05.2025;5617,00;EUR;
AR500841;Rechnung;100081;ADLER RECYCLING GMBH;15.05.2025;15.05.2025;38659,00;EUR;
AR500842;Rechnung;100133;ADLER FORMTEILE GMBH & CO. KG;10.05.2025;10.05.2025;18796,00;EUR;
AR500843;Rechnung;100151;KRONOS KUNSTSTOFF KG;01.05.2025;01.05.2025;36232,00;EUR;
AR500844;Rechnung;100027;BOREAS TRANSPORT AG;22.05.2025;22.05.2025;50099,00;EUR;
AR500845;Rechnung;100061;TERRA KARTON E.K.;26.05.2025;26.05.2025;18031,00;EUR;
AR500846;Rechnung;100102;CASTOR FORMTEILE GMBH;05.05.2025;05.05.2025;13914,00;EUR;
AR500847;Rechnung;100159;MERKUR DRUCK AG;22.05.2025;22.05.2025;37656,00;EUR;
AR500848;Rechnung;100029;PRISMA WERKSTOFFE SE;19.05.2025;19.05.2025;45440,00;EUR;
AR500849;Rechnung;100017;HELIOS ETIKETTEN KG;29.05.2025;29.05.2025;10543,00;EUR;
AR500850;Rechnung;100149;RATIO DISTRIBUTION GMBH;08.06.2025;08.06.2025;18473,00;EUR;
AR500851;Rechnung;100091;RATIO RECYCLING AG;19.06.2025;19.06.2025;52827,00;EUR;
AR500852;Rechnung;100099;VEGA CHEMIE KG;10.06.2025;10.06.2025;30465,00;EUR;
AR500853;Rechnung;100021;HELIOS RECYCLING GMBH;07.06.2025;07.06.2025;41561,00;EUR;
AR500854;Rechnung;100158;WEST SYSTEME AG;24.06.2025;24.06.2025;29709,00;EUR;
AR500855;Rechnung;100064;FALKE MASCHINEN GMBH;09.06.2025;09.06.2025;50730,00;EUR;
AR500856;Rechnung;100082;NORD PAPIER KG;09.06.2025;09.06.2025;33907,00;EUR;
AR500857;Rechnung;100066;SOLUM PAPIER GMBH;19.06.2025;19.06.2025;33059,00;EUR;
AR500858;Rechnung;100077;KRANICH FORMTEILE E.K.;07.06.2025;07.06.2025;2870,00;EUR;
AR500859;Rechnung;100134;SOLUM TRANSPORT E.K.;26.06.2025;26.06.2025;48633,00;EUR;
AR500860;Rechnung;100035;CIVES TECHNIK GMBH;05.06.2025;05.06.2025;38073,00;EUR;
AR500861;Rechnung;100031;RATIO PAPIER KG;28.06.2025;28.06.2025;44343,00;EUR;
AR500862;Rechnung;100140;MERKUR HANDEL E.K.;25.06.2025;25.06.2025;43783,00;EUR;
AR500863;Rechnung;100033;WEST TECHNIK GMBH;10.06.2025;10.06.2025;43853,00;EUR;
AR500864;Rechnung;100139;RATIO BESCHICHTUNG KG;13.06.2025;13.06.2025;4936,00;EUR;
AR500865;Rechnung;100068;VEGA ETIKETTEN KG;18.06.2025;18.06.2025;49500,00;EUR;
AR500866;Rechnung;100069;HELIOS WERKSTOFFE GMBH;26.06.2025;26.06.2025;22852,00;EUR;
AR500867;Rechnung;100072;IRIS LOGISTIK E.K.;10.06.2025;10.06.2025;39420,00;EUR;
AR500868;Rechnung;100055;ADLER DRUCK KG;11.06.2025;11.06.2025;21321,00;EUR;
AR500869;Rechnung;100026;IRIS KUNSTSTOFF E.K.;30.06.2025;30.06.2025;41615,00;EUR;
AR500870;Rechnung;100099;VEGA CHEMIE KG;17.06.2025;17.06.2025;38929,00;EUR;
AR500871;Rechnung;100037;PACTUM TECHNIK GMBH;21.06.2025;21.06.2025;45763,00;EUR;
AR500872;Rechnung;100055;ADLER DRUCK KG;26.06.2025;26.06.2025;40767,00;EUR;
AR500873;Rechnung;100065;ATLAS ETIKETTEN E.K.;22.06.2025;22.06.2025;52404,00;EUR;
AR500874;Rechnung;100037;PACTUM TECHNIK GMBH;06.06.2025;06.06.2025;52786,00;EUR;
AR500875;Rechnung;100127;TERRA TECHNIK KG;09.06.2025;09.06.2025;52800,00;EUR;
AR500876;Rechnung;100094;SATURN FORMTEILE SE;29.06.2025;29.06.2025;32990,00;EUR;
AR500877;Rechnung;100049;OST KARTON AG;17.06.2025;17.06.2025;35841,00;EUR;
AR500878;Rechnung;100152;NORD WERKSTOFFE GMBH;27.06.2025;27.06.2025;8413,00;EUR;
AR500879;Rechnung;100042;ADLER HANDEL GMBH;28.06.2025;28.06.2025;18536,00;EUR;
AR500880;Rechnung;100055;ADLER DRUCK KG;24.06.2025;24.06.2025;45749,00;EUR;
AR500881;Rechnung;100121;FALKE WERKSTOFFE GMBH;15.06.2025;15.06.2025;42454,00;EUR;
AR500882;Rechnung;100114;ATLAS CHEMIE GMBH;17.06.2025;17.06.2025;51879,00;EUR;
AR500883;Rechnung;100074;WEST LOGISTIK KG;09.06.2025;09.06.2025;12588,00;EUR;
AR500884;Rechnung;100017;HELIOS ETIKETTEN KG;04.06.2025;04.06.2025;42703,00;EUR;
AR500885;Rechnung;100157;IRIS DISTRIBUTION GMBH;15.06.2025;15.06.2025;11672,00;EUR;
AR500886;Rechnung;100096;ALPHA SYSTEME E.K.;17.06.2025;17.06.2025;46021,00;EUR;
AR500887;Rechnung;100066;SOLUM PAPIER GMBH;03.06.2025;03.06.2025;12282,00;EUR;
AR500888;Rechnung;100135;PACTUM KARTON E.K.;10.06.2025;10.06.2025;45578,00;EUR;
AR500889;Rechnung;100066;SOLUM PAPIER GMBH;25.06.2025;25.06.2025;14508,00;EUR;
AR500890;Rechnung;100125;AURORA HANDEL GMBH;22.06.2025;22.06.2025;2281,00;EUR;
AR500891;Rechnung;100144;WEST CHEMIE SE;05.06.2025;05.06.2025;25374,00;EUR;
AR500892;Rechnung;100006;SÜD DRUCK GMBH;01.06.2025;01.06.2025;5631,00;EUR;
AR500893;Rechnung;100058;VEGA ETIKETTEN GMBH & CO. KG;02.06.2025;02.06.2025;22947,00;EUR;
AR500894;Rechnung;100100;KRONOS TRANSPORT SE;02.06.2025;02.06.2025;54860,00;EUR;
AR500895;Rechnung;100059;FOKUS RECYCLING GMBH & CO. KG;07.06.2025;07.06.2025;46139,00;EUR;
AR500896;Rechnung;100046;SÜD KUNSTSTOFF KG;09.06.2025;09.06.2025;22421,00;EUR;
AR500897;Rechnung;100117;ATLAS HANDEL E.K.;29.06.2025;29.06.2025;39865,00;EUR;
AR500898;Rechnung;100148;AURORA INDUSTRIEBEDARF GMBH & CO. KG;22.06.2025;22.06.2025;16121,00;EUR;
AR500899;Rechnung;100050;OST CHEMIE GMBH;03.06.2025;03.06.2025;51462,00;EUR;
AR500900;Rechnung;100073;KRANICH MASCHINEN AG;11.06.2025;11.06.2025;35983,00;EUR;
AR500901;Rechnung;100025;LUPUS CHEMIE AG;09.06.2025;09.06.2025;14385,00;EUR;
AR500902;Rechnung;100086;HELIOS FOLIEN GMBH & CO. KG;05.06.2025;05.06.2025;1826,00;EUR;
AR500903;Rechnung;100097;VEGA WERKSTOFFE KG;04.06.2025;04.06.2025;44993,00;EUR;
AR500904;Rechnung;100016;MERKUR WERKSTOFFE SE;15.06.2025;15.06.2025;28801,00;EUR;
AR500905;Rechnung;100024;KRANICH HANDEL GMBH;14.06.2025;14.06.2025;36681,00;EUR;
AR500906;Rechnung;100117;ATLAS HANDEL E.K.;16.06.2025;16.06.2025;37892,00;EUR;
AR500907;Rechnung;100061;TERRA KARTON E.K.;28.06.2025;28.06.2025;5607,00;EUR;
AR500908;Rechnung;100132;CORVUS CHEMIE KG;08.06.2025;08.06.2025;49690,00;EUR;
AR500909;Rechnung;100137;PRISMA DISTRIBUTION GMBH;06.06.2025;06.06.2025;13388,00;EUR;
AR500910;Rechnung;100012;ATLAS FORMTEILE SE;16.06.2025;16.06.2025;1091,00;EUR;
AR500911;Rechnung;100127;TERRA TECHNIK KG;24.06.2025;24.06.2025;3826,00;EUR;
AR500912;Rechnung;100114;ATLAS CHEMIE GMBH;01.06.2025;01.06.2025;48687,00;EUR;
AR500913;Rechnung;100065;ATLAS ETIKETTEN E.K.;03.06.2025;03.06.2025;49480,00;EUR;
AR500914;Rechnung;100126;DELTA TECHNIK SE;10.06.2025;10.06.2025;50228,00;EUR;
AR500915;Rechnung;100066;SOLUM PAPIER GMBH;28.06.2025;28.06.2025;1971,00;EUR;
AR500916;Rechnung;100091;RATIO RECYCLING AG;10.06.2025;10.06.2025;4886,00;EUR;
AR500917;Rechnung;100092;SATURN ETIKETTEN GMBH;22.06.2025;22.06.2025;51258,00;EUR;
AR500918;Rechnung;100024;KRANICH HANDEL GMBH;24.06.2025;24.06.2025;40560,00;EUR;
AR500919;Rechnung;100093;TERRA RECYCLING GMBH;01.06.2025;01.06.2025;3244,00;EUR;
AR500920;Rechnung;100037;PACTUM TECHNIK GMBH;04.06.2025;04.06.2025;10308,00;EUR;
AR500921;Rechnung;100022;WEST INDUSTRIEBEDARF GMBH;22.06.2025;22.06.2025;33809,00;EUR;
AR500922;Rechnung;100073;KRANICH MASCHINEN AG;03.06.2025;03.06.2025;42950,00;EUR;
AR500923;Rechnung;100093;TERRA RECYCLING GMBH;03.06.2025;03.06.2025;34557,00;EUR;
AR500924;Rechnung;100061;TERRA KARTON E.K.;20.06.2025;20.06.2025;46086,00;EUR;
AR500925;Rechnung;100072;IRIS LOGISTIK E.K.;09.06.2025;09.06.2025;26569,00;EUR;
AR500926;Rechnung;100002;FOKUS DRUCK SE;05.06.2025;05.06.2025;35181,00;EUR;
AR500927;Rechnung;100122;FOKUS SYSTEME GMBH;10.06.2025;10.06.2025;10405,00;EUR;
AR500928;Rechnung;100034;BOREAS PAPIER GMBH;14.06.2025;14.06.2025;22171,00;EUR;
AR500929;Rechnung;100145;ATLAS RECYCLING SE;27.06.2025;27.06.2025;6290,00;EUR;
AR500930;Rechnung;100067;NOVA DRUCK GMBH;17.06.2025;17.06.2025;14283,00;EUR;
AR500931;Rechnung;100144;WEST CHEMIE SE;03.06.2025;03.06.2025;9087,00;EUR;
AR500932;Rechnung;100095;KRONOS MASCHINEN SE;26.06.2025;26.06.2025;19757,00;EUR;
AR500933;Rechnung;100122;FOKUS SYSTEME GMBH;16.06.2025;16.06.2025;27237,00;EUR;
AR500934;Rechnung;100144;WEST CHEMIE SE;03.06.2025;03.06.2025;13084,00;EUR;
AR500935;Rechnung;100087;SOLUM VERPACKUNG GMBH;28.06.2025;28.06.2025;15490,00;EUR;
AR500936;Rechnung;100094;SATURN FORMTEILE SE;29.06.2025;29.06.2025;8334,00;EUR;
AR500937;Rechnung;100056;NORD WERKSTOFFE SE;04.06.2025;04.06.2025;38988,00;EUR;
AR500938;Rechnung;100158;WEST SYSTEME AG;02.06.2025;02.06.2025;28216,00;EUR;
AR500939;Rechnung;100065;ATLAS ETIKETTEN E.K.;10.06.2025;10.06.2025;28734,00;EUR;
AR500940;Rechnung;100109;SOLUM KARTON GMBH & CO. KG;14.06.2025;14.06.2025;15759,00;EUR;
AR500941;Rechnung;100071;VEGA PAPIER GMBH;23.06.2025;23.06.2025;26285,00;EUR;
AR500942;Rechnung;100132;CORVUS CHEMIE KG;30.06.2025;30.06.2025;17422,00;EUR;
AR500943;Rechnung;100062;POLLUX BESCHICHTUNG GMBH;21.06.2025;21.06.2025;9267,00;EUR;
AR500944;Rechnung;100119;TITAN WERKSTOFFE GMBH & CO. KG;21.06.2025;21.06.2025;21641,00;EUR;
AR500945;Rechnung;100060;ATLAS FOLIEN GMBH & CO. KG;03.06.2025;03.06.2025;47157,00;EUR;
AR500946;Rechnung;100073;KRANICH MASCHINEN AG;19.06.2025;19.06.2025;33900,00;EUR;
AR500947;Rechnung;100006;SÜD DRUCK GMBH;29.06.2025;29.06.2025;52024,00;EUR;
AR500948;Rechnung;100016;MERKUR WERKSTOFFE SE;17.06.2025;17.06.2025;36998,00;EUR;
AR500949;Rechnung;100029;PRISMA WERKSTOFFE SE;15.06.2025;15.06.2025;25291,00;EUR;
AR500950;Rechnung;100050;OST CHEMIE GMBH;16.06.2025;16.06.2025;53279,00;EUR;
AR500951;Rechnung;100123;SÜD CHEMIE GMBH & CO. KG;04.06.2025;04.06.2025;1997,00;EUR;
AR500952;Rechnung;100071;VEGA PAPIER GMBH;18.06.2025;18.06.2025;16272,00;EUR;
AR500953;Rechnung;100121;FALKE WERKSTOFFE GMBH;03.06.2025;03.06.2025;17992,00;EUR;
AR500954;Rechnung;100014;ALPHA HANDEL GMBH;15.06.2025;15.06.2025;21102,00;EUR;
AR500955;Rechnung;100093;TERRA RECYCLING GMBH;29.06.2025;29.06.2025;19368,00;EUR;
AR500956;Rechnung;100055;ADLER DRUCK KG;01.06.2025;01.06.2025;25076,00;EUR;
AR500957;Rechnung;100083;MERKUR MASCHINEN GMBH;19.06.2025;19.06.2025;52640,00;EUR;
AR500958;Rechnung;100075;FALKE ETIKETTEN E.K.;21.06.2025;21.06.2025;38333,00;EUR;
AR500959;Rechnung;100083;MERKUR MASCHINEN GMBH;08.06.2025;08.06.2025;8670,00;EUR;
AR500960;Rechnung;100085;WEST LOGISTIK GMBH;13.06.2025;13.06.2025;20152,00;EUR;
AR500961;Rechnung;100036;KRONOS PAPIER GMBH;01.06.2025;01.06.2025;11997,00;EUR;
AR500962;Rechnung;100098;PACTUM FOLIEN AG;06.06.2025;06.06.2025;13040,00;EUR;
AR500963;Rechnung;100023;OST PAPIER SE;09.06.2025;09.06.2025;49016,00;EUR;
AR500964;Rechnung;100149;RATIO DISTRIBUTION GMBH;29.06.2025;29.06.2025;22405,00;EUR;
AR500965;Rechnung;100115;BOREAS KUNSTSTOFF KG;18.06.2025;18.06.2025;32333,00;EUR;
AR500966;Rechnung;100042;ADLER HANDEL GMBH;29.06.2025;29.06.2025;45241,00;EUR;
AR500967;Rechnung;100150;SÜD RECYCLING GMBH;22.06.2025;22.06.2025;6290,00;EUR;
AR500968;Rechnung;100096;ALPHA SYSTEME E.K.;10.06.2025;10.06.2025;32070,00;EUR;
AR500969;Rechnung;100012;ATLAS FORMTEILE SE;29.06.2025;29.06.2025;37722,00;EUR;
AR500970;Rechnung;100010;FOKUS TECHNIK GMBH;24.06.2025;24.06.2025;13464,00;EUR;
AR500971;Rechnung;100069;HELIOS WERKSTOFFE GMBH;19.06.2025;19.06.2025;46264,00;EUR;
AR500972;Rechnung;100038;SATURN MASCHINEN GMBH;17.06.2025;17.06.2025;31238,00;EUR;
AR500973;Rechnung;100081;ADLER RECYCLING GMBH;26.06.2025;26.06.2025;15370,00;EUR;
AR500974;Rechnung;100023;OST PAPIER SE;12.06.2025;12.06.2025;30797,00;EUR;
AR500975;Rechnung;100059;FOKUS RECYCLING GMBH & CO. KG;12.06.2025;12.06.2025;52137,00;EUR;
AR500976;Rechnung;100073;KRANICH MASCHINEN AG;10.06.2025;10.06.2025;3150,00;EUR;
AR500977;Rechnung;100084;FOKUS LOGISTIK AG;07.06.2025;07.06.2025;29748,00;EUR;
AR500978;Rechnung;100069;HELIOS WERKSTOFFE GMBH;21.06.2025;21.06.2025;52256,00;EUR;
AR500979;Rechnung;100065;ATLAS ETIKETTEN E.K.;07.06.2025;07.06.2025;42627,00;EUR;
AR500980;Rechnung;100108;ATLAS MASCHINEN AG;20.06.2025;20.06.2025;37142,00;EUR;
AR500981;Rechnung;100072;IRIS LOGISTIK E.K.;10.06.2025;10.06.2025;53450,00;EUR;
AR500982;Rechnung;100031;RATIO PAPIER KG;26.06.2025;26.06.2025;36114,00;EUR;
AR500983;Rechnung;100032;OMEGA VERPACKUNG KG;12.06.2025;12.06.2025;5668,00;EUR;
AR500984;Rechnung;100004;PRISMA SYSTEME AG;26.06.2025;26.06.2025;11416,00;EUR;
AR500985;Rechnung;100118;LUPUS PAPIER GMBH;10.06.2025;10.06.2025;25792,00;EUR;
AR500986;Rechnung;100156;KRANICH PAPIER GMBH & CO. KG;11.06.2025;11.06.2025;32734,00;EUR;
AR500987;Rechnung;100046;SÜD KUNSTSTOFF KG;07.06.2025;07.06.2025;52480,00;EUR;
AR500988;Rechnung;100124;MERKUR MASCHINEN KG;01.06.2025;01.06.2025;54716,00;EUR;
AR500989;Rechnung;100143;NOVA WERKSTOFFE KG;16.06.2025;16.06.2025;9329,00;EUR;
AR500990;Rechnung;100037;PACTUM TECHNIK GMBH;14.06.2025;14.06.2025;7495,00;EUR;
AR500991;Rechnung;100076;PACTUM LOGISTIK SE;20.06.2025;20.06.2025;40396,00;EUR;
AR500992;Rechnung;100151;KRONOS KUNSTSTOFF KG;13.06.2025;13.06.2025;4688,00;EUR;
AR500993;Rechnung;100045;HELIOS DRUCK GMBH;23.06.2025;23.06.2025;11868,00;EUR;
AR500994;Rechnung;100138;ALPHA FOLIEN GMBH;15.06.2025;15.06.2025;53660,00;EUR;
AR500995;Rechnung;100104;NORD INDUSTRIEBEDARF GMBH;24.06.2025;24.06.2025;41751,00;EUR;
AR500996;Rechnung;100029;PRISMA WERKSTOFFE SE;05.06.2025;05.06.2025;39475,00;EUR;
AR500997;Rechnung;100043;DELTA BESCHICHTUNG GMBH & CO. KG;30.06.2025;30.06.2025;41744,00;EUR;
AR500998;Rechnung;100105;WEST SYSTEME GMBH & CO. KG;02.06.2025;02.06.2025;7660,00;EUR;
AR500999;Rechnung;100042;ADLER HANDEL GMBH;17.06.2025;17.06.2025;8458,00;EUR;
AR501000;Rechnung;100068;VEGA ETIKETTEN KG;30.06.2025;30.06.2025;43989,00;EUR;
AR501001;Rechnung;100055;ADLER DRUCK KG;29.06.2025;29.06.2025;16121,00;EUR;
AR501002;Rechnung;100043;DELTA BESCHICHTUNG GMBH & CO. KG;11.06.2025;11.06.2025;25426,00;EUR;
AR501003;Rechnung;100078;FALKE SYSTEME GMBH;06.06.2025;06.06.2025;20953,00;EUR;
AR501004;Rechnung;100098;PACTUM FOLIEN AG;17.06.2025;17.06.2025;3254,00;EUR;
AR501005;Rechnung;100012;ATLAS FORMTEILE SE;19.06.2025;19.06.2025;47069,00;EUR;
AR501006;Rechnung;100127;TERRA TECHNIK KG;10.06.2025;10.06.2025;40929,00;EUR;
AR501007;Rechnung;100011;BOREAS BESCHICHTUNG E.K.;23.06.2025;23.06.2025;34543,00;EUR;
AR501008;Rechnung;100044;VEGA FORMTEILE GMBH;17.06.2025;17.06.2025;38389,00;EUR;
AR501009;Rechnung;100153;KRONOS INDUSTRIEBEDARF E.K.;20.06.2025;20.06.2025;48090,00;EUR;
AR501010;Rechnung;100109;SOLUM KARTON GMBH & CO. KG;13.06.2025;13.06.2025;8249,00;EUR;
AR501011;Rechnung;100096;ALPHA SYSTEME E.K.;12.06.2025;12.06.2025;23259,00;EUR;
AR501012;Rechnung;100046;SÜD KUNSTSTOFF KG;19.06.2025;19.06.2025;23310,00;EUR;
AR501013;Rechnung;100157;IRIS DISTRIBUTION GMBH;08.06.2025;08.06.2025;13121,00;EUR;
AR501014;Rechnung;100135;PACTUM KARTON E.K.;13.06.2025;13.06.2025;45659,00;EUR;
AR501015;Rechnung;100073;KRANICH MASCHINEN AG;28.06.2025;28.06.2025;51307,00;EUR;
AR501016;Rechnung;100098;PACTUM FOLIEN AG;16.06.2025;16.06.2025;27282,00;EUR;
AR501017;Rechnung;100098;PACTUM FOLIEN AG;07.06.2025;07.06.2025;14581,00;EUR;
AR501018;Rechnung;100085;WEST LOGISTIK GMBH;25.06.2025;25.06.2025;20868,00;EUR;
AR501019;Rechnung;100009;TITAN TECHNIK GMBH;12.06.2025;12.06.2025;28723,00;EUR;
AR501020;Rechnung;100081;ADLER RECYCLING GMBH;25.07.2025;25.07.2025;50206,00;EUR;
AR501021;Rechnung;100094;SATURN FORMTEILE SE;13.07.2025;13.07.2025;26961,00;EUR;
AR501022;Rechnung;100122;FOKUS SYSTEME GMBH;30.07.2025;30.07.2025;24203,00;EUR;
AR501023;Rechnung;100101;WEST KARTON GMBH;14.07.2025;14.07.2025;21101,00;EUR;
AR501024;Rechnung;100111;PACTUM RECYCLING E.K.;22.07.2025;22.07.2025;4268,00;EUR;
AR501025;Rechnung;100042;ADLER HANDEL GMBH;26.07.2025;26.07.2025;12523,00;EUR;
